Year,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze,Total,Population,GDP_USD,GDP_per_capita_USD
1960,Italy,Rome,United States,USA,34,21,16,71,180671000,22996100000000.0,69287.53659
1960,Italy,Rome,Italy,ITA,13,10,13,36,50199700,2099880000000.0,35551.28499
1960,Italy,Rome,Australia,AUS,8,8,6,22,10276477,1542660000000.0,59934.12941
1960,Italy,Rome,Poland,POL,4,6,11,21,29637450,674048000000.0,17840.92105
1960,Italy,Rome,Hungary,HUN,6,8,7,21,9983967,182281000000.0,18772.67329
1960,Italy,Rome,Japan,JPN,4,7,7,18,93216000,4937420000000.0,39285.16311
1960,Italy,Rome,Romania,ROU,3,1,6,10,18406905,284088000000.0,14861.90917
1960,Italy,Rome,Bulgaria,BUL,1,3,3,7,7867374,80271119426.0,11634.97102
1960,Italy,Rome,Sweden,SWE,1,2,3,6,7484656,627438000000.0,60238.98656
1960,Italy,Rome,Denmark,DEN,2,3,1,6,4579603,397104000000.0,67803.0471
1960,Italy,Rome,Switzerland,SUI,0,3,3,6,5327827,812867000000.0,93457.4404
1960,Italy,Rome,Finland,FIN,1,1,3,5,4429634,299155000000.0,53982.61427
1960,Italy,Rome,France,FRA,0,2,3,5,46649927,2937470000000.0,43518.53851
1960,Italy,Rome,Belgium,BEL,0,2,2,4,9153489,599879000000.0,51767.78857
1960,Italy,Rome,New Zealand,NZL,2,0,1,3,2371800,249992000000.0,48801.68513
1960,Italy,Rome,Netherlands,NED,0,1,2,3,11486631,1018010000000.0,58061.00167
1960,Italy,Rome,South Africa,RSA,0,1,2,3,16520441,419946000000.0,6994.211654
1960,Italy,Rome,Austria,AUT,1,1,0,2,7047539,477082000000.0,53267.93275
1960,Italy,Rome,Pakistan,PAK,1,0,1,2,45954226,346343000000.0,1537.936411
1960,Italy,Rome,Brazil,BRA,0,0,2,2,73092515,1608980000000.0,7518.834284
1960,Italy,Rome,Argentina,ARG,0,1,1,2,20349744,491493000000.0,10729.23258
1960,Italy,Rome,Greece,GRE,1,0,0,1,8331725,216241000000.0,20276.54467
1960,Italy,Rome,Norway,NOR,1,0,0,1,3581239,482437000000.0,89202.75054
1960,Italy,Rome,Ethiopia,ETH,1,0,0,1,21739710,111271000000.0,943.9656842
1960,Italy,Rome,Singapore,SIN,0,1,0,1,1646400,396987000000.0,72794.00302
1960,Italy,Rome,Morocco,MAR,0,1,0,1,11769774,132725000000.0,3496.758301
1960,Italy,Rome,Portugal,POR,0,1,0,1,8857716,249886000000.0,24262.18094
1960,Italy,Rome,Spain,ESP,0,0,1,1,30455000,1425280000000.0,30115.70589
1960,Italy,Rome,Iraq,IRQ,0,0,1,1,7084678,207889000000.0,5048.387813
1960,Italy,Rome,Mexico,MEX,0,0,1,1,36268055,1293040000000.0,9926.422768
1960,Italy,Rome,India,IND,0,1,0,1,445954579,3173400000000.0,2277.434347
1960,Italy,Rome,Canada,CAN,0,1,0,1,17909356,1990760000000.0,52051.35146
1960,Italy,Rome,Ghana,GHA,0,1,0,1,6911510,77594279055.0,2445.290749
1964,Japan,Tokyo,United States,USA,36,26,28,90,191889000,22996100000000.0,69287.53659
1964,Japan,Tokyo,Japan,JPN,16,5,8,29,96903000,4937420000000.0,39285.16311
1964,Japan,Tokyo,Italy,ITA,10,10,7,27,51675350,2099880000000.0,35551.28499
